clue_area,type,count,total_capacity,avg_capacity
Carlton,Cafes,306,13046,42.63398692810457
Docklands,Cafes,218,12466,57.18348623853208
East Melbourne,Cafes,58,3568,61.51724137931034
Kensington,Cafes,45,5397,119.9333333333333
Melbourne (CBD),Cafes,1521,85785,56.40039447731751
Melbourne (Remainder),Cafes,49,7461,152.26530612244895
North Melbourne,Cafes,150,5937,39.580000000000005
Parkville,Cafes,45,2423,53.84444444444445
Port Melbourne,Cafes,22,764,34.72727272727273
South Yarra,Cafes,13,551,42.38461538461539
Southbank,Cafes,183,16249,88.79234972677597
West Melbourne (Industrial),Cafes,12,492,41
West Melbourne (Residential),Cafes,77,2967,38.532467532467535
Carlton,Bars,29,4861,167.62068965517238
Docklands,Bars,18,11020,612.2222222222222
East Melbourne,Bars,4,3197,799.25
Kensington,Bars,4,645,161.25
Melbourne (CBD),Bars,276,73404,265.9565217391304
Melbourne (Remainder),Bars,3,770,256.6666666666667
North Melbourne,Bars,23,4611,200.4782608695652
Parkville,Bars,3,1030,343.3333333333333
South Yarra,Bars,2,345,172.5
Southbank,Bars,35,13207,377.34285714285716
West Melbourne (Residential),Bars,9,1031,114.55555555555556
